Título;Ingredientes;Preparación
Tallarines Rojos Integrales;"150 g de tallarines integrales (La Molisana)
1 pechuga de pollo (sin hueso)
2 tomates medianos (maduros)
1/2 pimentón rojo
1 zanahoria (en cubos pequeños)
1/2 cebolla (picada finamente)
1 diente de ajo (picado o rallado)
1/2 cucharadita de orégano
1/2 cucharadita de comino
Sal al gusto
1 taza de agua o caldo de pollo casero (sin grasa)
Hongos y laurel";"1. Cocinar el pollo: Hervir la pechuga de pollo en agua con una pizca de sal hasta que esté bien cocida. Dejar enfriar y deshilachar.
2. Preparar la salsa roja: Cocinar los tomates, pimentón y zanahoria. Licuar hasta obtener una salsa homogénea.
3. Sofreír la cebolla y ajo con un poco de agua, agregar la salsa licuada, orégano, comino y sal. Cocinar hasta espesar.
4. Incorporar el pollo deshilachado y cocinar unos minutos más.
5. Hervir los tallarines y mezclarlos con la salsa.
6. Agregar hongos y laurel durante la cocción.
7. Servir caliente con arroz blanco si se desea."
Puré de Pallares con Pollo a la Plancha;"1 taza de pallares
1 zanahoria (en cubos pequeños)
1/2 cucharadita de comino
Sal al gusto
1 pechuga de pollo (sin hueso)";"1. Remojar los pallares por 8 horas y cocinar hasta que estén blandos.
2. Triturar los pallares hasta obtener un puré cremoso.
3. Agregar el comino, la sal y la zanahoria en cubos pequeños.
4. Cocinar la pechuga de pollo en una sartén sin aceite hasta dorar.
5. Servir acompañado de arroz blanco."
Puré de Pallares con Pavita;"1 taza de pallares
1 zanahoria (en cubos pequeños)
1/2 cucharadita de comino
Sal al gusto
6 piezas de pavita
1 pimentón
1 cebolla";"1. Remojar y cocinar los pallares hasta obtener un puré.
2. Agregar comino, sal y zanahoria.
3. Cocinar la pavita en olla a presión con agua y ajo.
4. Dorar la pavita con cebolla y pimentón en tiras.
5. Servir con arroz blanco."
Guiso de Pollo con Verduras;"2 papas blancas, en cubos
1 rama de apio, picada finamente
1 zanahoria, en cubos pequeños
1 pechuga de pollo sin hueso, en trozos
½ cucharadita de cúrcuma
1 taza de espinaca, picada
½ cucharadita de sal (opcional)
2 tazas de agua o caldo de pollo";"1. Sofreír el pollo en una olla.
2. Agregar las papas y cocinar 10 minutos.
3. Añadir el caldo y la cúrcuma, cocinar 5 minutos más.
4. Agregar el apio y zanahoria, cocinar 5-7 minutos.
5. Añadir la espinaca y cocinar 3 minutos.
6. Ajustar la sal y servir con arroz."
Guiso de Pollo y Espárragos con Brócoli;"1 pechuga de pollo sin hueso, cortada en cubos
1 papa blanca, pelada y cortada en cubos pequeños
1 zanahoria, cortada en rodajas delgadas
½ brócoli, separado en pequeños floretes
4 espárragos, cortados en trozos medianos
½ pimentón (rojo, amarillo o verde), cortado en tiras
1 taza de agua o caldo de verduras sin grasa
Sal al gusto";"1. Sellar el pollo en una olla.
2. Incorporar la papa y cocinar 5 minutos.
3. Agregar zanahoria y espárragos.
4. Añadir agua o caldo y cocinar hasta que la papa esté lista.
5. Sumar el brócoli y pimentón, cocinar 5 minutos.
6. Ajustar la sal y servir."
Guiso de Pollo con Brócoli y Choclo Desgranado;"1 pechuga de pollo sin hueso, en trozos
1 papa blanca, en cubos
½ taza de choclo desgranado
½ taza de brócoli, en trozos
½ pimentón, en tiras
2 hojas de acelga, picadas
½ cdta de cúrcuma
½ cdta de kion rallado
Sal al gusto
1 ½ tazas de agua";"1. Sofreír el pollo hasta dorarlo.
2. Agregar la papa y el choclo, cocinar 5 minutos.
3. Añadir agua, cúrcuma, kion y sal, tapar y cocinar 10 minutos.
4. Incorporar el brócoli, pimentón y acelga, cocinar 5 minutos más.
5. Servir caliente con arroz."
Puré con Pollo a la Plancha;"3 papas amarillas
1 taza de espinaca (picada)
1 zanahoria (cortada en cubos pequeños)
1 pechuga de pollo sin hueso
1 cucharadita de kion rallado
1 pizca de comino
Sal al gusto";"1. Hervir las papas hasta que estén suaves y hacer un puré.
2. Mezclar el puré con espinaca, zanahoria, comino y kion rallado.
3. Cocinar la pechuga de pollo a la plancha sin aceite hasta dorar.
4. Servir caliente acompañado del puré."
Tallarines Verdes (pasta tradicional);"200 g de tallarines Don Victorio
1 taza de espinaca fresca
½ taza de albahaca fresca
¼ taza de hierbabuena
2 papas amarillas (sancochadas)
1 camote mediano (sancochado)
1 huevo (sancochado)
½ taza de leche descremada
Sal al gusto";"1. Cocinar los tallarines en agua hirviendo con sal hasta que estén al dente. Escurrir y reservar.
2. Licuar la espinaca, albahaca y hierbabuena con leche hasta obtener una salsa verde homogénea.
3. Mezclar la salsa con los tallarines cocidos.
4. Servir con papas, camote y huevo sancochado."
Puré con Pollo al Ajonjolí;"3 papas amarillas
1 taza de espinaca (picada)
1 zanahoria (cortada en cubos pequeños)
1 pechuga de pollo sin hueso
1 cucharadita de kion rallado
1 pizca de comino
1 cucharada de semillas de ajonjolí
2 cucharadas de salsa de soya (baja en sodio)
1 cucharadita de maicena disuelta en 2 cucharadas de agua
1 cucharadita de miel
Sal al gusto";"1. Hervir las papas y hacer un puré suave.
2. Mezclar con espinaca, zanahoria y comino.
3. Cocinar la pechuga de pollo a la plancha, agregar semillas de ajonjolí, salsa de soya y miel.
4. Espesar la salsa con la maicena disuelta en agua y servir sobre el pollo con el puré."
Causa Rellena;"3 papas amarillas
1 zanahoria (en cubos pequeños)
½ taza de choclo desgranado
½ limón (jugo)
1 pechuga de pollo sin hueso
½ taza de brócoli (cocido y picado)
4 espárragos (cocidos y picados)
Sal al gusto";"1. Hervir las papas hasta que estén blandas y hacer un puré con el jugo de limón y sal.
2. Cocinar el pollo y deshilacharlo.
3. Mezclar el pollo con brócoli, zanahoria, choclo y espárragos cocidos.
4. Colocar una capa de puré en un molde, añadir el relleno y cubrir con más puré.
5. Servir frío o a temperatura ambiente."
